frame,source_image,noise,value,logistic_points,fast_points,qpp_1q_points,qpp_2q_points,logistic_threshold,qpp_1q_threshold,qpp_2q_threshold,logistic_mean_score,logistic_top_score,qpp_1q_mean_score,qpp_1q_top_score,qpp_2q_mean_score,qpp_2q_top_score,logistic_nearest_gt,qpp_1q_nearest_gt,qpp_2q_nearest_gt
0,30,clean,0.0,9,2,6,4,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.04537110676412086,0.9905068554246831,0.3764000596998538,0.6317143045760241,0.039298952246398317,0.986119757596881,0.9334051609039307,0.9334051609039307,0.9334051609039307
1,30,clean,0.0,9,2,6,4,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.04537110676412086,0.9905068554246831,0.3764000596998538,0.6317143045760241,0.039298952246398317,0.986119757596881,0.9334051609039307,0.9334051609039307,0.9334051609039307
2,30,clean,0.0,9,2,6,4,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.04537110676412086,0.9905068554246831,0.3764000596998538,0.6317143045760241,0.039298952246398317,0.986119757596881,0.9334051609039307,0.9334051609039307,0.9334051609039307
3,30,clean,0.0,9,2,6,4,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.04537110676412086,0.9905068554246831,0.3764000596998538,0.6317143045760241,0.039298952246398317,0.986119757596881,0.9334051609039307,0.9334051609039307,0.9334051609039307
4,30,clean,0.0,9,2,6,4,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.04537110676412086,0.9905068554246831,0.3764000596998538,0.6317143045760241,0.039298952246398317,0.986119757596881,0.9334051609039307,0.9334051609039307,0.9334051609039307
5,30,gaussian,0.005,9,3,6,4,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.13023476817499222,0.9904628823445728,0.4579079820331926,0.6317121274385473,0.039375495741071666,0.9861016799638077,0.9334051609039307,0.9334051609039307,0.9334051609039307
6,30,gaussian,0.01,9,3,7,4,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.2769763250831741,0.9904273771447889,0.5015211256595734,0.6317106991225101,0.03977847932152108,0.9860785135262115,0.9334051609039307,0.9334051609039307,0.9334051609039307
7,30,gaussian,0.015,35,3,7,5,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.41104833446238903,0.9904005672422478,0.5273630791451098,0.6317100196315457,0.040534328055840806,0.9860491050934846,0.9334051609039307,0.9334051609039307,0.9334051609039307
8,30,gaussian,0.02,35,3,7,5,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.5166230131773215,0.9903826204484404,0.5451259262574158,0.6317102969748596,0.04168971061273989,0.9860118703916064,0.9334051609039307,0.9334051609039307,0.9334051609039307
9,30,gaussian,0.025,35,4,7,5,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.5967176333454504,0.9903736450614593,0.5582982008145068,0.6317114202143904,0.043315572227566115,0.9859649995162546,0.9334051609039307,0.9334051609039307,0.9334051609039307
10,30,gaussian,0.030000000000000002,35,6,8,5,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.6569213788215086,0.990373676945352,0.568558199512998,0.6317132645428671,0.045513347357931125,0.9859064499071459,0.9334051609039307,0.9334051609039307,0.9334051609039307
11,30,gaussian,0.034999999999999996,35,13,10,6,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.7027164754044749,0.9903827177126383,0.5768356899429541,0.6317158715570012,0.04842521824246428,0.9858340679913511,0.9334051609039307,0.9334051609039307,0.9334051609039307
12,30,gaussian,0.04,35,22,10,7,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.7383957276095577,0.9904006785890138,0.5836613323146782,0.6317188807073645,0.05224448418851121,0.9857456432247994,0.9334051609039307,0.9334051609039307,0.9334051609039307
13,30,gaussian,0.045,35,28,10,7,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.7668943688501234,0.9904273830633805,0.5893515010399072,0.6317219314484183,0.05718751146003382,0.9856391770152995,0.9334051609039307,0.9334051609039307,0.9334051609039307
14,30,gaussian,0.049999999999999996,35,35,13,9,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.7903926882911277,0.9904626371513475,0.594166015715836,0.6317250099127983,0.06355894770389614,0.9855361353181562,0.9334051609039307,0.9334051609039307,0.9334051609039307
15,30,gaussian,0.055,35,35,35,11,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.8101481237592402,0.9905061851177154,0.5982609794000685,0.6317274920902267,0.07174254373141012,0.9854380456264189,0.9334051609039307,0.9334051609039307,0.9334051609039307
16,30,gaussian,0.06,35,35,35,12,0.5226139445332346,0.6054954413492049,0.5076415014376364,0.8272439627472566,0.9905546686205853,0.6017928720856971,0.6317291283821461,0.08251234202784408,0.9853218009996721,0.9334051609039307,0.9334051609039307,0.9334051609039307
