feature_dim,case,method,train_samples,test_samples,threshold,precision,recall,f1,pr_auc
5D,clean,MLP,4500,1500,0.27476730942726135,0.933993399339934,0.9433333333333334,0.9386401326699834,0.9813959008655981
5D,clean,QNN,160,1500,0.4852156341075897,0.7288135593220338,0.86,0.7889908256880734,0.727066241745518
image,clean,Harris,4500,60,nan,0.17507418397626112,0.9833333333333333,0.2972292191435768,nan
image,clean,FAST,4500,60,nan,0.07533234859675036,0.85,0.13839891451831748,nan
image,clean,ORB,4500,60,nan,0.04195804195804196,1.0,0.08053691275167786,nan
5D,gaussian_0.04,MLP,4500,1500,0.27476730942726135,0.8780487804878049,0.96,0.9171974522292994,0.9779766715036509
5D,gaussian_0.04,QNN,160,1500,0.4852156341075897,0.7329545454545454,0.86,0.7914110429447853,0.732432938568296
image,gaussian_0.04,Harris,4500,60,nan,0.17302052785923755,0.9833333333333333,0.29426433915211975,nan
image,gaussian_0.04,FAST,4500,60,nan,0.028205128205128206,0.9166666666666666,0.05472636815920398,nan
image,gaussian_0.04,ORB,4500,60,nan,0.02555366269165247,1.0,0.04983388704318937,nan
5D,gaussian_0.08,MLP,4500,1500,0.27476730942726135,0.4843492586490939,0.98,0.6482910694597575,0.9073093609570799
5D,gaussian_0.08,QNN,160,1500,0.4852156341075897,0.6658415841584159,0.8966666666666666,0.7642045454545454,0.7035017794517242
image,gaussian_0.08,Harris,4500,60,nan,0.07013301088270858,0.9666666666666667,0.1307779030439684,nan
image,gaussian_0.08,FAST,4500,60,nan,0.021666666666666667,0.8666666666666667,0.04227642276422764,nan
image,gaussian_0.08,ORB,4500,60,nan,0.0251994960100798,1.0,0.04916018025399426,nan
5D,blur_0.9,MLP,4500,1500,0.27476730942726135,0.9668508287292817,0.5833333333333334,0.7276507276507277,0.9446704098558719
5D,blur_0.9,QNN,160,1500,0.4852156341075897,0.7016574585635359,0.42333333333333334,0.5280665280665281,0.696690693867786
image,blur_0.9,Harris,4500,60,nan,0.13924050632911392,0.9166666666666666,0.24175824175824176,nan
image,blur_0.9,FAST,4500,60,nan,0.14214463840399003,0.95,0.2472885032537961,nan
image,blur_0.9,ORB,4500,60,nan,0.04966887417218543,1.0,0.0946372239747634,nan
5D,saltpepper_0.03,MLP,4500,1500,0.27476730942726135,0.4309063893016345,0.9666666666666667,0.5960945529290853,0.7110648198478766
5D,saltpepper_0.03,QNN,160,1500,0.4852156341075897,0.5481927710843374,0.91,0.6842105263157895,0.5664381721715229
image,saltpepper_0.03,Harris,4500,60,nan,0.024166666666666666,0.9666666666666667,0.04715447154471544,nan
image,saltpepper_0.03,FAST,4500,60,nan,0.00459674049310489,0.18333333333333332,0.008968609865470854,nan
image,saltpepper_0.03,ORB,4500,60,nan,0.024273948851322065,0.9333333333333333,0.04731727925644276,nan
8D,clean,MLP,4500,1500,0.050817374140024185,0.8895705521472392,0.9666666666666667,0.9265175718849841,0.9756130275391565
8D,clean,QNN,220,1500,0.7114330530166626,0.7948717948717948,0.8266666666666667,0.8104575163398693,0.8289157985691817
8D,gaussian_0.04,MLP,4500,1500,0.050817374140024185,0.8588235294117647,0.9733333333333334,0.9125,0.9643714007340294
8D,gaussian_0.04,QNN,220,1500,0.7114330530166626,0.7808641975308642,0.8433333333333334,0.8108974358974359,0.8321410149882655
8D,gaussian_0.08,MLP,4500,1500,0.050817374140024185,0.676605504587156,0.9833333333333333,0.8016304347826086,0.8946755846983822
8D,gaussian_0.08,QNN,220,1500,0.7114330530166626,0.6844783715012722,0.8966666666666666,0.7763347763347763,0.8066041470610901
8D,blur_0.9,MLP,4500,1500,0.050817374140024185,0.975609756097561,0.5333333333333333,0.6896551724137931,0.8899502556315595
8D,blur_0.9,QNN,220,1500,0.7114330530166626,0.7005988023952096,0.39,0.5010706638115632,0.7137114828372428
8D,saltpepper_0.03,MLP,4500,1500,0.050817374140024185,0.40437158469945356,0.9866666666666667,0.5736434108527132,0.6831833235602126
8D,saltpepper_0.03,QNN,220,1500,0.7114330530166626,0.5224171539961013,0.8933333333333333,0.6592865928659286,0.5197748709711483
