split,sequence,method,frames,gt_points,mean_detected_points,tp,fp,fn,precision,recall,f1
test,2d,FAST tuned,6,54,25.666666666666668,50,104,4,0.3246753246753247,0.9259259259259259,0.48076923076923084
test,2d,Harris tuned,6,54,18.666666666666668,40,72,14,0.35714285714285715,0.7407407407407407,0.48192771084337344
test,2d,Logistic motion-tuned,6,54,14.0,29,55,25,0.34523809523809523,0.5370370370370371,0.42028985507246375
test,2d,Logistic original,6,54,24.5,49,98,5,0.3333333333333333,0.9074074074074074,0.4875621890547264
test,2d,ORB tuned,6,54,27.666666666666668,48,118,6,0.2891566265060241,0.8888888888888888,0.43636363636363634
test,2d,QPP QNN2 fine-tuned,6,54,14.0,35,49,19,0.4166666666666667,0.6481481481481481,0.5072463768115942
test,2d,QPP QNN2 original,6,54,24.0,48,96,6,0.3333333333333333,0.8888888888888888,0.48484848484848486
test,3d,FAST tuned,6,78,35.333333333333336,73,139,5,0.3443396226415094,0.9358974358974359,0.503448275862069
test,3d,Harris tuned,6,78,21.5,46,83,32,0.35658914728682173,0.5897435897435898,0.4444444444444444
test,3d,Logistic motion-tuned,6,78,11.833333333333334,27,44,51,0.38028169014084506,0.34615384615384615,0.3624161073825503
test,3d,Logistic original,6,78,25.666666666666668,51,103,27,0.33116883116883117,0.6538461538461539,0.4396551724137931
test,3d,ORB tuned,6,78,32.5,42,153,36,0.2153846153846154,0.5384615384615384,0.3076923076923077
test,3d,QPP QNN2 fine-tuned,6,78,14.0,37,47,41,0.44047619047619047,0.47435897435897434,0.4567901234567901
test,3d,QPP QNN2 original,6,78,24.0,45,99,33,0.3125,0.5769230769230769,0.4054054054054054
