case,method,precision,recall,f1,pr_auc
clean,MLP,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9860105363984675
clean,QNN,0.6666666666666666,0.75,0.7058823529411765,0.6642725612735528
clean,Harris,0.17507418397626112,0.9833333333333333,0.2972292191435768,nan
clean,FAST,0.07533234859675036,0.85,0.13839891451831748,nan
clean,ORB,0.04195804195804196,1.0,0.08053691275167786,nan
gaussian_0.04,MLP,0.8846153846153846,0.9583333333333334,0.92,0.9264214648683454
gaussian_0.04,QNN,0.6896551724137931,0.8333333333333334,0.7547169811320755,0.6843884336590781
gaussian_0.04,Harris,0.17302052785923755,0.9833333333333333,0.29426433915211975,nan
gaussian_0.04,FAST,0.028205128205128206,0.9166666666666666,0.05472636815920398,nan
gaussian_0.04,ORB,0.02555366269165247,1.0,0.04983388704318937,nan
gaussian_0.08,MLP,0.7419354838709677,0.9583333333333334,0.8363636363636363,0.7945875073256013
gaussian_0.08,QNN,0.6129032258064516,0.7916666666666666,0.6909090909090909,0.6278636941181606
gaussian_0.08,Harris,0.07013301088270858,0.9666666666666667,0.1307779030439684,nan
gaussian_0.08,FAST,0.021666666666666667,0.8666666666666667,0.04227642276422764,nan
gaussian_0.08,ORB,0.0251994960100798,1.0,0.04916018025399426,nan
blur_0.9,MLP,1.0,0.5,0.6666666666666666,0.8901210534518881
blur_0.9,QNN,0.625,0.20833333333333334,0.3125,0.6478292250024719
blur_0.9,Harris,0.13924050632911392,0.9166666666666666,0.24175824175824176,nan
blur_0.9,FAST,0.14214463840399003,0.95,0.2472885032537961,nan
blur_0.9,ORB,0.04966887417218543,1.0,0.0946372239747634,nan
saltpepper_0.03,MLP,0.4782608695652174,0.9166666666666666,0.6285714285714286,0.6544953701337471
saltpepper_0.03,QNN,0.5135135135135135,0.7916666666666666,0.6229508196721312,0.505006724146303
saltpepper_0.03,Harris,0.024166666666666666,0.9666666666666667,0.04715447154471544,nan
saltpepper_0.03,FAST,0.00459674049310489,0.18333333333333332,0.008968609865470854,nan
saltpepper_0.03,ORB,0.024273948851322065,0.9333333333333333,0.04731727925644276,nan
