case,name,feature_set,model,n_qubits,layers,test_samples,threshold,precision,recall,f1,roc_auc,pr_auc
clean,lambda2_threshold,lambda2,threshold,0,0,1500,0.6501579774569158,0.912751677852349,0.9066666666666666,0.9096989966555183,0.9919111111111111,0.9635197087673459
clean,logistic_logS_eta,logS_eta,logistic,0,0,1500,0.5226139445332346,0.8682634730538922,0.9666666666666667,0.9148264984227129,0.992475,0.966426708299615
clean,qpp_1q_scalar_c4_L2,scalar_c4,qpp_qnn1,1,2,1500,0.6196337472354799,0.8678678678678678,0.9633333333333334,0.9131121642969984,0.98955,0.9456503338892492
clean,qpp_2q_lambda12_L2,lambda12,qpp_qnn2,2,2,1500,0.5102686281097389,0.8810975609756098,0.9633333333333334,0.9203821656050956,0.9917722222222222,0.9492977619045871
gaussian_0.04,lambda2_threshold,lambda2,threshold,0,0,1500,0.6501579774569158,0.890282131661442,0.9466666666666667,0.9176090468497576,0.9917361111111112,0.9626003125080147
gaussian_0.04,logistic_logS_eta,logS_eta,logistic,0,0,1500,0.5226139445332346,0.22005988023952097,0.98,0.3594132029339853,0.947811111111111,0.9268262863232793
gaussian_0.04,qpp_1q_scalar_c4_L2,scalar_c4,qpp_qnn1,1,2,1500,0.6196337472354799,0.8419540229885057,0.9766666666666667,0.904320987654321,0.9833666666666667,0.9365904521061493
gaussian_0.04,qpp_2q_lambda12_L2,lambda12,qpp_qnn2,2,2,1500,0.5102686281097389,0.8533724340175953,0.97,0.9079563182527302,0.9911416666666667,0.9480667655773314
gaussian_0.08,lambda2_threshold,lambda2,threshold,0,0,1500,0.6501579774569158,0.8240223463687151,0.9833333333333333,0.8966565349544073,0.9925972222222222,0.9647985137743185
gaussian_0.08,logistic_logS_eta,logS_eta,logistic,0,0,1500,0.5226139445332346,0.21326676176890158,0.9966666666666667,0.35135135135135137,0.9335138888888889,0.9007966328030965
gaussian_0.08,qpp_1q_scalar_c4_L2,scalar_c4,qpp_qnn1,1,2,1500,0.6196337472354799,0.2493744787322769,0.9966666666666667,0.3989326217478319,0.9755416666666668,0.9077011306715533
gaussian_0.08,qpp_2q_lambda12_L2,lambda12,qpp_qnn2,2,2,1500,0.5102686281097389,0.7078384798099763,0.9933333333333333,0.826629680998613,0.9876305555555556,0.9254266740784048
blur_0.9,lambda2_threshold,lambda2,threshold,0,0,1500,0.6501579774569158,0.9900990099009901,0.3333333333333333,0.49875311720698257,0.9906611111111111,0.9571635764340525
blur_0.9,logistic_logS_eta,logS_eta,logistic,0,0,1500,0.5226139445332346,0.9,0.9,0.9,0.9893666666666667,0.9494424703447396
blur_0.9,qpp_1q_scalar_c4_L2,scalar_c4,qpp_qnn1,1,2,1500,0.6196337472354799,0.9547511312217195,0.7033333333333334,0.8099808061420346,0.9902666666666667,0.9564863252781199
blur_0.9,qpp_2q_lambda12_L2,lambda12,qpp_qnn2,2,2,1500,0.5102686281097389,0.9691358024691358,0.5233333333333333,0.6796536796536796,0.9616694444444445,0.8667603593116899
saltpepper_0.03,lambda2_threshold,lambda2,threshold,0,0,1500,0.6501579774569158,0.3788265306122449,0.99,0.5479704797047971,0.9339611111111111,0.8246832150397819
saltpepper_0.03,logistic_logS_eta,logS_eta,logistic,0,0,1500,0.5226139445332346,0.2553373185311699,0.9966666666666667,0.4065261726716519,0.893961111111111,0.7525378801065933
saltpepper_0.03,qpp_1q_scalar_c4_L2,scalar_c4,qpp_qnn1,1,2,1500,0.6196337472354799,0.26768128916741274,0.9966666666666667,0.42201834862385323,0.7497722222222222,0.3189388162724613
saltpepper_0.03,qpp_2q_lambda12_L2,lambda12,qpp_qnn2,2,2,1500,0.5102686281097389,0.3333333333333333,0.9766666666666667,0.49703138252756573,0.7999083333333332,0.3719486487091915
