dataset,frame,harris_points,fast_points,orb_points,qpp_points,qpp_mean_score,qpp_top_score,logistic_points,qpp_2q_points,logistic_mean_score,logistic_top_score,qpp_2q_mean_score,qpp_2q_top_score
HPatches example sequence,0,35,35,33,35,0.011266333449249188,0.16294487880228073,,,,,,
HPatches example sequence,1,35,35,35,35,0.026869215205384163,0.5211946541471255,,,,,,
HPatches example sequence,2,35,35,35,35,0.011596857814962854,0.21847395451069684,,,,,,
HPatches example sequence,3,35,35,35,35,0.020303267953507714,0.34747202164537255,,,,,,
HPatches example sequence,4,35,35,33,35,0.014496538859831086,0.2199683570387257,,,,,,
HPatches example sequence,5,35,35,34,35,0.010229609557542282,0.20862538735496794,,,,,,
KITTI drive 0001,0,35,35,,,,,35,35,0.3642668683089638,0.9842330287164974,0.06051525211414173,0.9858146234383525
KITTI drive 0001,1,35,35,,,,,35,35,0.36355675323437087,0.9860738607871682,0.06021038553599406,0.9860747426032348
KITTI drive 0001,2,35,35,,,,,35,35,0.3622350182634273,0.9849661593008393,0.059371128319196526,0.9857625310604176
KITTI drive 0001,3,35,35,,,,,35,35,0.3649672973928172,0.986147093201557,0.058581752648953524,0.9858583799542919
KITTI drive 0001,4,35,35,,,,,35,35,0.3684708938701114,0.9847884760257735,0.061394225735360054,0.9861581607173967
KITTI drive 0001,5,35,35,,,,,35,35,0.37064802629288124,0.9847983434589074,0.061638024650934646,0.986147625296547
KITTI drive 0001,6,35,35,,,,,35,35,0.3750279619727547,0.9855061026985482,0.05825854036457369,0.985709618792535
KITTI drive 0001,7,35,35,,,,,35,35,0.36968518377815884,0.9831387769094491,0.05553736850608346,0.9861047968752262
KITTI drive 0001,8,35,35,,,,,35,35,0.3631473472272855,0.9831214810076692,0.05376748188753355,0.985997282224594
KITTI drive 0001,9,35,35,,,,,35,35,0.3522103794621109,0.9840536198232753,0.054737156271407586,0.9858492827586738
KITTI drive 0001,10,35,35,,,,,35,35,0.3505664391150572,0.9830821430724849,0.05655972194489159,0.9860597668211999
KITTI drive 0001,11,35,35,,,,,35,35,0.3454961426056737,0.9847212411344615,0.057748383098201087,0.9861150379676193
KITTI drive 0001,12,35,35,,,,,35,35,0.3422360152893436,0.9857213902702291,0.05983627937428761,0.9861110612846413
KITTI drive 0001,13,35,35,,,,,35,35,0.34178308687425085,0.9854752222288724,0.06246835471622004,0.9860880280104138
KITTI drive 0001,14,35,35,,,,,35,35,0.3411059076998216,0.9864902743525739,0.06411098539569159,0.9861720049173771
KITTI drive 0001,15,35,35,,,,,35,35,0.34035612515659447,0.9870184453044835,0.06629459320813959,0.9861699824865416
KITTI drive 0001,16,35,35,,,,,35,35,0.34199588037127987,0.9874752664823645,0.06769230005768176,0.9865071072525634
KITTI drive 0001,17,35,35,,,,,35,35,0.34192557797787143,0.989629341420965,0.06919049556068428,0.9860539976341308
KITTI drive 0001,18,35,35,,,,,35,35,0.34462689069845703,0.9898110940797028,0.07390914300824943,0.9861317225642112
KITTI drive 0001,19,35,35,,,,,35,35,0.34768599015412,0.9911980763822947,0.07671928732607113,0.9867990733857943
KITTI drive 0001,20,35,35,,,,,35,35,0.3469327179558129,0.9858893673199415,0.07775741376094998,0.9873951614157377
KITTI drive 0001,21,35,35,,,,,35,35,0.34697832272694956,0.9880003140845655,0.07690466290133466,0.9870316767363656
KITTI drive 0001,22,35,35,,,,,35,35,0.35075675556228114,0.9860809151636515,0.08085189962587545,0.9868609959194858
KITTI drive 0001,23,35,35,,,,,35,35,0.3500889554981218,0.9864947527812667,0.0799435108053539,0.9869771565958277
