comparator,gaussian_sigma,n_raw_pairs,n_training_seed_pairs,delta_precision_mean,delta_precision_std,delta_recall_mean,delta_recall_std,delta_f1_mean,delta_f1_std,delta_pr_auc_mean,delta_pr_auc_std,delta_f1_retention_mean,delta_f1_retention_std
TinyMLP h5 (lambda12),0.0,5,5,-0.08154728922709423,0.00982706479372771,-0.014666666666666672,0.001825741858350596,-0.052020700883212936,0.004874030637793517,-0.04413566474668755,0.0035898326698117493,0.0,0.0
TinyMLP h5 (lambda12),0.01,15,5,-0.6698267186306884,0.010042835738525512,-0.015111111111111127,0.0009938079899999292,-0.5664266547568838,0.005050115461522212,-0.7665908276397142,0.003350307761067502,-0.5887238013763109,0.001528811679289664
TinyMLP h5 (lambda12),0.02,15,5,-0.6696040813863979,0.011031638992648378,-0.01511111111111112,0.0014907119849998777,-0.5682402155085962,0.005345451690277292,-0.7684709294626301,0.0034316013349531024,-0.5908929486509005,0.0017774930250986094
TinyMLP h5 (lambda12),0.04,15,5,-0.6466235301098588,0.00721033294473984,-0.01822222222222223,0.0032960882164869737,-0.5604814050077213,0.0026281661271981118,-0.773822826839969,0.003082900524029368,-0.5825995007827924,0.0038561961047179315
TinyMLP h5 (lambda12),0.06,15,5,-0.5707220509833809,0.0762240273513596,-0.011333333333333315,0.002981423969999738,-0.5172888724476985,0.04888765763436494,-0.7774240674171724,0.0031585763052057888,-0.53559616881419,0.04835541047420135
TinyMLP h5 (lambda12),0.08,15,5,-0.3889023914660598,0.1848617389153649,-0.012444444444444437,0.0004969039949999642,-0.3817974911652235,0.17056271567827877,-0.7867776481451767,0.0032502359322716915,-0.38872995528026155,0.1813539442366716
TinyMLP h5 (lambda12),0.1,15,5,-0.12246902962367837,0.06430586312605642,-0.010222222222222264,0.0004969039949999487,-0.14838279176305255,0.0760003761168553,-0.775429134867119,0.0030596625734593723,-0.13730609848332143,0.07979837225821679
TinyMLP h5 (lambda12),0.15,15,5,-0.006347746299683097,0.006742297734212702,-0.005555555555555536,0.0,-0.008963121067369809,0.009223963400330012,-0.7144097762363527,0.013304043397444667,0.01232452320348799,0.008084443471740315
TinyMLP h5 (mu12),0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,-2.8185290097404446e-07,6.302422462334801e-07,0.0,0.0
TinyMLP h5 (mu12),0.01,15,5,0.0,0.0,0.0,0.0,0.0,0.0,1.8503717077085942e-18,4.1375569220787885e-18,0.0,0.0
TinyMLP h5 (mu12),0.02,15,5,0.0,0.0,0.0,0.0,0.0,0.0,-2.762907000723273e-07,3.783266221336011e-07,0.0,0.0
TinyMLP h5 (mu12),0.04,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TinyMLP h5 (mu12),0.06,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TinyMLP h5 (mu12),0.08,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TinyMLP h5 (mu12),0.1,15,5,0.0,0.0,0.0,0.0,0.0,0.0,-2.064782552587315e-06,4.61699414634077e-06,0.0,0.0
TinyMLP h5 (mu12),0.15,15,5,0.0,0.0,0.0,0.0,0.0,0.0,-3.7007434154171884e-18,5.067451620406764e-18,0.0,0.0
