model,training_seed,noise_seed,gaussian_sigma,threshold,trainable_parameters,train_samples,validation_samples,test_samples,accuracy,precision,recall,f1,pr_auc,tp,fp,fn,tn,clean_f1,f1_drop,f1_retention
Schmidt-QPP QNN L2,17,clean,0.0,0.5373572475497486,25,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.9229130694983899,284,66,16,1134,0.8738461538461538,0.0,1.0
TinyMLP h5 (lambda12),17,clean,0.0,0.5687221041631866,21,4500,1500,1500,0.9706666666666667,0.9,0.96,0.9290322580645162,0.9692257232679625,288,32,12,1168,0.9290322580645162,0.0,1.0
TinyMLP h5 (mu12),17,clean,0.0,0.48684885424745994,21,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.9229130694983899,284,66,16,1134,0.8738461538461538,0.0,1.0
Schmidt-QPP QNN L2,17,1001,0.01,0.5373572475497486,25,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.20498322833062677,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
TinyMLP h5 (lambda12),17,1001,0.01,0.5687221041631866,21,4500,1500,1500,0.9706666666666667,0.8975155279503105,0.9633333333333334,0.9292604501607717,0.9694661294014569,289,33,11,1167,0.9290322580645162,-0.00022819209625557502,1.0002456234369417
TinyMLP h5 (mu12),17,1001,0.01,0.48684885424745994,21,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.20498322833062677,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
Schmidt-QPP QNN L2,17,2003,0.01,0.5373572475497486,25,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19715669536518998,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
TinyMLP h5 (lambda12),17,2003,0.01,0.5687221041631866,21,4500,1500,1500,0.97,0.897196261682243,0.96,0.927536231884058,0.9687397679572338,288,33,12,1167,0.9290322580645162,0.0014960261804581876,0.998389694041868
TinyMLP h5 (mu12),17,2003,0.01,0.48684885424745994,21,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19715669536518998,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
Schmidt-QPP QNN L2,17,3001,0.01,0.5373572475497486,25,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19880930003074057,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
TinyMLP h5 (lambda12),17,3001,0.01,0.5687221041631866,21,4500,1500,1500,0.9693333333333334,0.8944099378881988,0.96,0.9260450160771705,0.96845340162385,288,34,12,1166,0.9290322580645162,0.002987241987345679,0.9967845659163987
TinyMLP h5 (mu12),17,3001,0.01,0.48684885424745994,21,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19880930003074057,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
Schmidt-QPP QNN L2,17,1001,0.02,0.5373572475497486,25,4500,1500,1500,0.31266666666666665,0.21862971516551194,0.9466666666666667,0.35522201375859913,0.2038542185675792,284,1015,16,185,0.8738461538461538,0.5186241400875546,0.4065040650406504
TinyMLP h5 (lambda12),17,1001,0.02,0.5687221041631866,21,4500,1500,1500,0.97,0.897196261682243,0.96,0.927536231884058,0.9687020758623,288,33,12,1167,0.9290322580645162,0.0014960261804581876,0.998389694041868
TinyMLP h5 (mu12),17,1001,0.02,0.48684885424745994,21,4500,1500,1500,0.31266666666666665,0.21862971516551194,0.9466666666666667,0.35522201375859913,0.20385421856757924,284,1015,16,185,0.8738461538461538,0.5186241400875546,0.4065040650406504
