model,gaussian_sigma,n_raw_evaluations,n_training_seeds,n_noise_seeds_per_training_seed,trainable_parameters,precision_mean,precision_std,precision_raw_std,precision_within_noise_std_mean,recall_mean,recall_std,recall_raw_std,recall_within_noise_std_mean,f1_mean,f1_std,f1_raw_std,f1_within_noise_std_mean,pr_auc_mean,pr_auc_std,pr_auc_raw_std,pr_auc_within_noise_std_mean,f1_drop_mean,f1_drop_std,f1_drop_raw_std,f1_drop_within_noise_std_mean,f1_retention_mean,f1_retention_std,f1_retention_raw_std,f1_retention_within_noise_std_mean
Schmidt-QPP QNN L2,0.0,5,5,1,25,0.8114285714285714,0.0,0.0,0.0,0.9466666666666667,0.0,0.0,0.0,0.8738461538461537,1.2412670766236366e-16,1.2412670766236366e-16,0.0,0.9229122239396871,7.718859588087699e-07,7.718859588087699e-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TinyMLP h5 (lambda12),0.0,5,5,1,21,0.8929758606556655,0.00982706479372771,0.00982706479372771,0.0,0.9613333333333334,0.001825741858350596,0.001825741858350596,0.0,0.9258668547293668,0.004874030637793517,0.004874030637793517,0.0,0.9670478886863746,0.0035901930646901467,0.0035901930646901467,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TinyMLP h5 (mu12),0.0,5,5,1,21,0.8114285714285714,0.0,0.0,0.0,0.9466666666666667,0.0,0.0,0.0,0.8738461538461537,1.2412670766236366e-16,1.2412670766236366e-16,0.0,0.9229125057925881,7.718859588087698e-07,7.718859588087698e-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Schmidt-QPP QNN L2,0.01,15,5,3,25,0.22118380062305296,0.0,5.745950043620392e-17,0.0,0.9466666666666667,0.0,2.298380017448157e-16,0.0,0.35858585858585856,0.0,1.1491900087240784e-16,0.0,0.20031640790885247,3.1031676915590914e-17,0.0034864211267191763,0.0041251891086309415,0.5152602952602953,0.0,1.1491900087240784e-16,0.0,0.4103535353535353,0.0,5.745950043620392e-17,6.798699777552591e-17
TinyMLP h5 (lambda12),0.01,15,5,3,21,0.8910105192537413,0.010042835738525501,0.00986702562001005,0.0036884224215616877,0.9617777777777778,0.0009938079899999067,0.0017213259316477805,0.0015396007178390377,0.9250125133427423,0.0050501154615221885,0.005143169377495891,0.0024204552050291366,0.9669072355485666,0.003350307761067463,0.003157854946150408,0.000665377943133923,0.0008543413866244354,0.001416279343793981,0.002512210885966813,0.002420455205029136,0.9990773367298462,0.0015288116792896184,0.0027100910716005124,0.002612072801413267
TinyMLP h5 (mu12),0.01,15,5,3,21,0.22118380062305296,0.0,5.745950043620392e-17,0.0,0.9466666666666667,0.0,2.298380017448157e-16,0.0,0.35858585858585856,0.0,1.1491900087240784e-16,0.0,0.20031640790885247,3.1031676915590914e-17,0.003486421126719174,0.004125189108630939,0.5152602952602953,0.0,1.1491900087240784e-16,0.0,0.4103535353535353,0.0,5.745950043620392e-17,6.798699777552591e-17
Schmidt-QPP QNN L2,0.02,15,5,3,25,0.21868586044418822,0.0,8.218827233386539e-05,9.724647527245328e-05,0.9466666666666667,0.0,2.298380017448157e-16,0.0,0.3552961109663085,0.0,0.00010846720561324848,0.0001283401284515697,0.19824013373333402,0.0,0.01060993986918843,0.012553850152001656,0.5185500428798453,0.0,0.00010846720561324848,0.0001283401284515697,0.4065888593804587,0.0,0.00012412620360672071,0.0001468681047421254
TinyMLP h5 (lambda12),0.02,15,5,3,21,0.8882899418305863,0.011031638992648373,0.010493146338902016,0.0023427749817088077,0.9617777777777778,0.0014907119849998942,0.0021331349114073125,0.0019245008972987843,0.9235363264749046,0.00534545169027725,0.005208487487247982,0.0014728446184782496,0.9667110631959641,0.0034316013349530647,0.003232299362688231,0.0006645881721753402,0.002330528254462109,0.0016462017738235156,0.002226950264889455,0.0014728446184782494,0.997481808031359,0.001777493025098619,0.0024131483858294157,0.0015964446236282105
TinyMLP h5 (mu12),0.02,15,5,3,21,0.21868586044418822,0.0,8.218827233386539e-05,9.724647527245328e-05,0.9466666666666667,0.0,2.298380017448157e-16,0.0,0.3552961109663085,0.0,0.00010846720561324848,0.0001283401284515697,0.19824041002403409,3.783266221336011e-07,0.010609538640272094,0.012553375391238141,0.5185500428798453,0.0,0.00010846720561324848,0.0001283401284515697,0.4065888593804587,0.0,0.00012412620360672071,0.0001468681047421254
Schmidt-QPP QNN L2,0.04,15,5,3,25,0.21749049429657794,0.0,0.0006427028553068646,0.0007604562737642678,0.9533333333333335,0.0,0.002817180849095073,0.003333333333333355,0.3541795665634675,0.0,0.0010466306560105543,0.0012383900928792657,0.19340753962230225,0.0,0.006903689804341847,0.008168555936051548,0.5196665872826863,0.0,0.0010466306560105777,0.0012383900928792935,0.4053111237081934,6.206335383118183e-17,0.0011977287436740526,0.0014171717612174728
