comparator,saltpepper_probability,n_raw_pairs,n_training_seed_pairs,delta_precision_mean,delta_precision_std,delta_recall_mean,delta_recall_std,delta_f1_mean,delta_f1_std,delta_pr_auc_mean,delta_pr_auc_std,delta_f1_retention_mean,delta_f1_retention_std
TinyMLP h5 (lambda12),0.0,5,5,-0.08154728922709423,0.009827064793727712,-0.014666666666666672,0.001825741858350596,-0.052020700883212936,0.004874030637793517,-0.04413566474668755,0.0035898326698117493,0.0,0.0
TinyMLP h5 (lambda12),0.01,15,5,-0.21668698930087338,0.06526256562851193,-0.014222222222222261,0.002408831487630953,-0.20736952948575263,0.05634887798714267,-0.5680303496754204,0.004568082004595819,-0.19234577570916794,0.05734610231929986
TinyMLP h5 (lambda12),0.02,15,5,-0.13525981857152733,0.043526092843621494,-0.015555555555555545,0.0013608276348795287,-0.15316993578935695,0.04612584832019536,-0.5628828905093655,0.016524636009191733,-0.13927441757361878,0.04702063966670175
TinyMLP h5 (lambda12),0.03,15,5,-0.09116350688030736,0.03197026629651298,-0.008444444444444432,0.0014907119849998445,-0.11135786369647398,0.03740352870692976,-0.5249604233886531,0.033534404031519006,-0.09613543644459102,0.037946459129772715
TinyMLP h5 (lambda12),0.05,15,5,-0.03658555383058475,0.01352392204781894,-0.008222222222222242,0.0021659542988464544,-0.048438336839913096,0.01737104116413728,-0.38711054144584994,0.06265557962918694,-0.029604035971541383,0.016623468876621705
TinyMLP h5 (lambda12),0.08,15,5,-0.012171265345159825,0.004779903872054419,-0.007333333333333332,0.0006085806194501785,-0.01700447488193459,0.0064727473940053,-0.19745413289609887,0.05312928285404158,0.0034779085120959174,0.005044199314618419
TinyMLP h5 (lambda12),0.1,15,5,-0.00399305415783799,0.0021877579767164814,0.0008888888888889093,0.0004969039949999647,-0.0054375829534075715,0.002978201927613632,-0.13707304780622934,0.04943228216554437,0.015854308335577067,0.0014375304328306626
TinyMLP h5 (lambda12),0.15,15,5,0.00013536014835923332,0.000291551855282711,0.0,0.0,0.00018752755586021923,0.00040451237827502366,-0.03450978546666729,0.023584508062980132,0.02170852476341042,0.0014815718972820886
TinyMLP h5 (mu12),0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,-2.8185290097404446e-07,6.302422462334801e-07,0.0,0.0
TinyMLP h5 (mu12),0.01,15,5,0.0,0.0,0.0,0.0,0.0,0.0,-2.5958003306107246e-07,5.804385995365447e-07,0.0,0.0
TinyMLP h5 (mu12),0.02,15,5,0.0,0.0,0.0,0.0,0.0,0.0,-2.2380086055484578e-07,5.004339376080707e-07,0.0,0.0
TinyMLP h5 (mu12),0.03,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.542051911182396e-18,0.0,0.0
TinyMLP h5 (mu12),0.05,15,5,0.0,0.0,0.0,0.0,0.0,0.0,-1.8503717077085942e-18,7.740660210346876e-18,0.0,0.0
TinyMLP h5 (mu12),0.08,15,5,0.0,0.0,0.0,0.0,0.0,0.0,3.7007434154171884e-18,5.067451620406764e-18,0.0,0.0
TinyMLP h5 (mu12),0.1,15,5,0.0,0.0,0.0,0.0,0.0,0.0,-3.7007434154171884e-18,5.067451620406764e-18,0.0,0.0
TinyMLP h5 (mu12),0.15,15,5,0.0,0.0,0.0,0.0,0.0,0.0,1.6653345369377344e-17,1.0134903240813529e-17,0.0,0.0
