model,training_seed,noise_seed,saltpepper_probability,threshold,trainable_parameters,train_samples,validation_samples,test_samples,accuracy,precision,recall,f1,pr_auc,tp,fp,fn,tn,clean_f1,f1_drop,f1_retention
Schmidt-QPP QNN L2,17,clean,0.0,0.5373572475497486,25,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.9229130694983899,284,66,16,1134,0.8738461538461538,0.0,1.0
TinyMLP h5 (lambda12),17,clean,0.0,0.5687221041631866,21,4500,1500,1500,0.9706666666666667,0.9,0.96,0.9290322580645162,0.9692257232679625,288,32,12,1168,0.9290322580645162,0.0,1.0
TinyMLP h5 (mu12),17,clean,0.0,0.48684885424745994,21,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.9229130694983899,284,66,16,1134,0.8738461538461538,0.0,1.0
Schmidt-QPP QNN L2,17,1001,0.01,0.5373572475497486,25,4500,1500,1500,0.5926666666666667,0.3246899661781285,0.96,0.485256950294861,0.29167940960932764,288,599,12,601,0.8738461538461538,0.38858920355129284,0.555311650865598
TinyMLP h5 (lambda12),17,1001,0.01,0.5687221041631866,21,4500,1500,1500,0.866,0.6016427104722792,0.9766666666666667,0.7445997458703939,0.8787077724658433,293,194,7,1006,0.9290322580645162,0.18443251219412227,0.8014788931243823
TinyMLP h5 (mu12),17,1001,0.01,0.48684885424745994,21,4500,1500,1500,0.5926666666666667,0.3246899661781285,0.96,0.485256950294861,0.29167940960932764,288,599,12,601,0.8738461538461538,0.38858920355129284,0.555311650865598
Schmidt-QPP QNN L2,17,2003,0.01,0.5373572475497486,25,4500,1500,1500,0.588,0.32094594594594594,0.95,0.47979797979797983,0.3089451280043943,285,603,15,597,0.8738461538461538,0.394048174048174,0.5490645895575473
TinyMLP h5 (lambda12),17,2003,0.01,0.5687221041631866,21,4500,1500,1500,0.8446666666666667,0.5655577299412916,0.9633333333333334,0.7127003699136869,0.8692507719215007,289,222,11,978,0.9290322580645162,0.21633188815082927,0.7671427592820935
TinyMLP h5 (mu12),17,2003,0.01,0.48684885424745994,21,4500,1500,1500,0.588,0.32094594594594594,0.95,0.47979797979797983,0.3089451280043942,285,603,15,597,0.8738461538461538,0.394048174048174,0.5490645895575473
Schmidt-QPP QNN L2,17,3001,0.01,0.5373572475497486,25,4500,1500,1500,0.6153333333333333,0.3376318874560375,0.96,0.49956634865568084,0.328703659105061,288,565,12,635,0.8738461538461538,0.374279805190473,0.5716868426517474
TinyMLP h5 (lambda12),17,3001,0.01,0.5687221041631866,21,4500,1500,1500,0.854,0.5811623246492986,0.9666666666666667,0.7259073842302879,0.8857679785562241,290,209,10,991,0.9290322580645162,0.20312487383422828,0.7813586427478793
TinyMLP h5 (mu12),17,3001,0.01,0.48684885424745994,21,4500,1500,1500,0.6153333333333333,0.3376318874560375,0.96,0.49956634865568084,0.328703659105061,288,565,12,635,0.8738461538461538,0.374279805190473,0.5716868426517474
Schmidt-QPP QNN L2,17,1001,0.02,0.5373572475497486,25,4500,1500,1500,0.44066666666666665,0.2565492321589883,0.9466666666666667,0.40369580668088134,0.23937224242973404,284,823,16,377,0.8738461538461538,0.4701503471652725,0.4619758351101635
TinyMLP h5 (lambda12),17,1001,0.02,0.5687221041631866,21,4500,1500,1500,0.7153333333333334,0.4104372355430183,0.97,0.5768087215064419,0.7794365540851536,291,418,9,782,0.9290322580645162,0.35222353655807426,0.6208704988437396
TinyMLP h5 (mu12),17,1001,0.02,0.48684885424745994,21,4500,1500,1500,0.44066666666666665,0.2565492321589883,0.9466666666666667,0.40369580668088134,0.23937224242973404,284,823,16,377,0.8738461538461538,0.4701503471652725,0.4619758351101635
Schmidt-QPP QNN L2,17,2003,0.02,0.5373572475497486,25,4500,1500,1500,0.43533333333333335,0.25645592163846836,0.96,0.4047786366830639,0.23145603459451058,288,835,12,365,0.8738461538461538,0.4690675171630899,0.46321498916195697
