model,saltpepper_probability,n_raw_evaluations,n_training_seeds,n_noise_seeds_per_training_seed,trainable_parameters,precision_mean,precision_std,precision_raw_std,precision_within_noise_std_mean,recall_mean,recall_std,recall_raw_std,recall_within_noise_std_mean,f1_mean,f1_std,f1_raw_std,f1_within_noise_std_mean,pr_auc_mean,pr_auc_std,pr_auc_raw_std,pr_auc_within_noise_std_mean,f1_drop_mean,f1_drop_std,f1_drop_raw_std,f1_drop_within_noise_std_mean,f1_retention_mean,f1_retention_std,f1_retention_raw_std,f1_retention_within_noise_std_mean
Schmidt-QPP QNN L2,0.0,5,5,1,25,0.8114285714285714,0.0,0.0,0.0,0.9466666666666667,0.0,0.0,0.0,0.8738461538461537,1.2412670766236366e-16,1.2412670766236366e-16,0.0,0.9229122239396871,7.718859588087699e-07,7.718859588087699e-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TinyMLP h5 (lambda12),0.0,5,5,1,21,0.8929758606556655,0.00982706479372771,0.00982706479372771,0.0,0.9613333333333334,0.001825741858350596,0.001825741858350596,0.0,0.9258668547293668,0.004874030637793517,0.004874030637793517,0.0,0.9670478886863746,0.0035901930646901467,0.0035901930646901467,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TinyMLP h5 (mu12),0.0,5,5,1,21,0.8114285714285714,0.0,0.0,0.0,0.9466666666666667,0.0,0.0,0.0,0.8738461538461537,1.2412670766236366e-16,1.2412670766236366e-16,0.0,0.9229125057925881,7.718859588087698e-07,7.718859588087698e-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Schmidt-QPP QNN L2,0.01,15,5,3,25,0.32775593319337065,0.0,0.007399578961162192,0.008755299899116178,0.9566666666666667,0.0,0.004879500364742669,0.005773502691896262,0.4882070929161739,0.0,0.008628218154822662,0.010209045397983884,0.3097752868328284,7.108891979477005e-07,0.015656408779590663,0.01852491264938069,0.38563906092997996,0.0,0.008628218154822662,0.010209045397983884,0.5586876943582976,0.0,0.00987384119830057,0.011682886458960418
TinyMLP h5 (lambda12),0.01,15,5,3,21,0.544442922494244,0.0652625656285119,0.062207231606897534,0.017145371201441995,0.9708888888888889,0.0024088314876309345,0.006357930514190936,0.007036266050104591,0.6955766224019266,0.056348877987142665,0.05386028295690058,0.0156757796863168,0.8778056365082488,0.0045686101802110525,0.007819885692927075,0.007606185977390883,0.23029023232744028,0.051557167995243076,0.04957560415172641,0.0156757796863168,0.7510334700674656,0.057346102319299826,0.055022905690262795,0.0169209961512028
TinyMLP h5 (mu12),0.01,15,5,3,21,0.32775593319337065,0.0,0.007399578961162192,0.008755299899116178,0.9566666666666667,0.0,0.004879500364742669,0.005773502691896262,0.4882070929161739,0.0,0.008628218154822662,0.010209045397983884,0.3097755464128615,7.108891979071609e-07,0.015656744983927603,0.018525310451717743,0.38563906092997996,0.0,0.008628218154822662,0.010209045397983884,0.5586876943582976,0.0,0.00987384119830057,0.011682886458960418
Schmidt-QPP QNN L2,0.02,15,5,3,25,0.25571306112946846,0.0,0.0011564051943847423,0.001368277078314191,0.96,0.0,0.011268723396380248,0.013333333333333364,0.40383700677118856,0.0,0.0007433736456416476,0.000879571559253922,0.23570684083842824,6.129038985595837e-07,0.0033718808055717775,0.003989663045029038,0.4700091470749653,6.206335383118183e-17,0.0007433736456416476,0.000879571559253922,0.4621374197205503,6.206335383118183e-17,0.0008506916719490736,0.0010065519604138251
TinyMLP h5 (lambda12),0.02,15,5,3,21,0.3909728797009958,0.0435260928436215,0.04081138612920935,0.006824244839085748,0.9755555555555556,0.0013608276348795294,0.005443310539518158,0.006200032307801515,0.5570069425605456,0.046125848320195395,0.04330008692707154,0.007613298844475437,0.7985897313477938,0.01652490591249091,0.023242555291637004,0.020657427456561968,0.36885991216882125,0.04134720877007745,0.038943676241016634,0.007613298844475437,0.6014118372941691,0.047020639666701794,0.04421056658298588,0.00820456393287172
TinyMLP h5 (mu12),0.02,15,5,3,21,0.25571306112946846,0.0,0.0011564051943847423,0.001368277078314191,0.96,0.0,0.011268723396380248,0.013333333333333364,0.40383700677118856,0.0,0.0007433736456416476,0.000879571559253922,0.23570706463928878,6.12903898546915e-07,0.003372141328145765,0.003989971299505525,0.4700091470749653,6.206335383118183e-17,0.0007433736456416476,0.000879571559253922,0.4621374197205503,6.206335383118183e-17,0.0008506916719490736,0.0010065519604138251
Schmidt-QPP QNN L2,0.03,15,5,3,25,0.23038945988068443,3.1031676915590914e-17,0.000981961938381692,0.0011618730342866479,0.9788888888888888,0.0,0.001626500121580872,0.0019245008972987331,0.37299179306938807,0.0,0.0014020981043448095,0.0016589848498073246,0.2125171884058686,0.0,0.00019538347049361906,0.00023118083994782803,0.5008543607767657,0.0,0.001402098104344801,0.0016589848498073149,0.4268391998153209,0.0,0.0016045136757466935,0.0018984861837583733
