split,sequence,frame,method,gt_points,detected_points,tp,fp,fn,precision,recall,f1
test,2d,34,Harris tuned,9,18,7,11,2,0.3888888888888889,0.7777777777777778,0.5185185185185185
test,2d,34,FAST tuned,9,26,8,18,1,0.3076923076923077,0.8888888888888888,0.4571428571428572
test,2d,34,ORB tuned,9,27,8,19,1,0.2962962962962963,0.8888888888888888,0.4444444444444444
test,2d,34,Logistic original,9,25,8,17,1,0.32,0.8888888888888888,0.47058823529411764
test,2d,34,QPP QNN2 original,9,24,9,15,0,0.375,1.0,0.5454545454545454
test,2d,34,Logistic motion-tuned,9,12,6,6,3,0.5,0.6666666666666666,0.5714285714285715
test,2d,34,QPP QNN2 fine-tuned,9,14,8,6,1,0.5714285714285714,0.8888888888888888,0.6956521739130435
test,2d,35,Harris tuned,9,19,6,13,3,0.3157894736842105,0.6666666666666666,0.42857142857142855
test,2d,35,FAST tuned,9,26,8,18,1,0.3076923076923077,0.8888888888888888,0.4571428571428572
test,2d,35,ORB tuned,9,28,8,20,1,0.2857142857142857,0.8888888888888888,0.43243243243243246
test,2d,35,Logistic original,9,25,9,16,0,0.36,1.0,0.5294117647058824
test,2d,35,QPP QNN2 original,9,24,8,16,1,0.3333333333333333,0.8888888888888888,0.48484848484848486
test,2d,35,Logistic motion-tuned,9,14,4,10,5,0.2857142857142857,0.4444444444444444,0.34782608695652173
test,2d,35,QPP QNN2 fine-tuned,9,14,4,10,5,0.2857142857142857,0.4444444444444444,0.34782608695652173
test,2d,36,Harris tuned,9,19,7,12,2,0.3684210526315789,0.7777777777777778,0.5
test,2d,36,FAST tuned,9,24,8,16,1,0.3333333333333333,0.8888888888888888,0.48484848484848486
test,2d,36,ORB tuned,9,28,8,20,1,0.2857142857142857,0.8888888888888888,0.43243243243243246
test,2d,36,Logistic original,9,25,8,17,1,0.32,0.8888888888888888,0.47058823529411764
test,2d,36,QPP QNN2 original,9,24,8,16,1,0.3333333333333333,0.8888888888888888,0.48484848484848486
test,2d,36,Logistic motion-tuned,9,14,3,11,6,0.21428571428571427,0.3333333333333333,0.2608695652173913
test,2d,36,QPP QNN2 fine-tuned,9,14,5,9,4,0.35714285714285715,0.5555555555555556,0.43478260869565216
test,2d,37,Harris tuned,9,18,4,14,5,0.2222222222222222,0.4444444444444444,0.2962962962962963
test,2d,37,FAST tuned,9,26,8,18,1,0.3076923076923077,0.8888888888888888,0.4571428571428572
test,2d,37,ORB tuned,9,29,8,21,1,0.27586206896551724,0.8888888888888888,0.42105263157894735
test,2d,37,Logistic original,9,22,9,13,0,0.4090909090909091,1.0,0.5806451612903226
test,2d,37,QPP QNN2 original,9,24,8,16,1,0.3333333333333333,0.8888888888888888,0.48484848484848486
test,2d,37,Logistic motion-tuned,9,15,5,10,4,0.3333333333333333,0.5555555555555556,0.4166666666666667
test,2d,37,QPP QNN2 fine-tuned,9,14,7,7,2,0.5,0.7777777777777778,0.6086956521739131
test,2d,38,Harris tuned,9,19,9,10,0,0.47368421052631576,1.0,0.6428571428571429
test,2d,38,FAST tuned,9,26,9,17,0,0.34615384615384615,1.0,0.5142857142857142
test,2d,38,ORB tuned,9,28,8,20,1,0.2857142857142857,0.8888888888888888,0.43243243243243246
test,2d,38,Logistic original,9,25,7,18,2,0.28,0.7777777777777778,0.4117647058823529
test,2d,38,QPP QNN2 original,9,24,8,16,1,0.3333333333333333,0.8888888888888888,0.48484848484848486
test,2d,38,Logistic motion-tuned,9,14,4,10,5,0.2857142857142857,0.4444444444444444,0.34782608695652173
test,2d,38,QPP QNN2 fine-tuned,9,14,6,8,3,0.42857142857142855,0.6666666666666666,0.5217391304347826
test,2d,39,Harris tuned,9,19,7,12,2,0.3684210526315789,0.7777777777777778,0.5
test,2d,39,FAST tuned,9,26,9,17,0,0.34615384615384615,1.0,0.5142857142857142
test,2d,39,ORB tuned,9,26,8,18,1,0.3076923076923077,0.8888888888888888,0.4571428571428572
test,2d,39,Logistic original,9,25,8,17,1,0.32,0.8888888888888888,0.47058823529411764
test,2d,39,QPP QNN2 original,9,24,7,17,2,0.2916666666666667,0.7777777777777778,0.42424242424242425
test,2d,39,Logistic motion-tuned,9,15,7,8,2,0.4666666666666667,0.7777777777777778,0.5833333333333334
test,2d,39,QPP QNN2 fine-tuned,9,14,5,9,4,0.35714285714285715,0.5555555555555556,0.43478260869565216
test,3d,34,Harris tuned,13,19,9,10,4,0.47368421052631576,0.6923076923076923,0.5625
test,3d,34,FAST tuned,13,31,12,19,1,0.3870967741935484,0.9230769230769231,0.5454545454545454
test,3d,34,ORB tuned,13,30,7,23,6,0.23333333333333334,0.5384615384615384,0.32558139534883723
test,3d,34,Logistic original,13,27,10,17,3,0.37037037037037035,0.7692307692307693,0.5
test,3d,34,QPP QNN2 original,13,24,8,16,5,0.3333333333333333,0.6153846153846154,0.43243243243243246
test,3d,34,Logistic motion-tuned,13,13,6,7,7,0.46153846153846156,0.46153846153846156,0.46153846153846156
test,3d,34,QPP QNN2 fine-tuned,13,14,4,10,9,0.2857142857142857,0.3076923076923077,0.29629629629629634
test,3d,35,Harris tuned,13,18,8,10,5,0.4444444444444444,0.6153846153846154,0.5161290322580646
test,3d,35,FAST tuned,13,34,13,21,0,0.38235294117647056,1.0,0.5531914893617021
test,3d,35,ORB tuned,13,29,8,21,5,0.27586206896551724,0.6153846153846154,0.380952380952381
test,3d,35,Logistic original,13,24,7,17,6,0.2916666666666667,0.5384615384615384,0.3783783783783784
test,3d,35,QPP QNN2 original,13,24,8,16,5,0.3333333333333333,0.6153846153846154,0.43243243243243246
test,3d,35,Logistic motion-tuned,13,10,5,5,8,0.5,0.38461538461538464,0.4347826086956522
test,3d,35,QPP QNN2 fine-tuned,13,14,7,7,6,0.5,0.5384615384615384,0.5185185185185186
test,3d,36,Harris tuned,13,22,6,16,7,0.2727272727272727,0.46153846153846156,0.3428571428571428
test,3d,36,FAST tuned,13,36,10,26,3,0.2777777777777778,0.7692307692307693,0.40816326530612246
test,3d,36,ORB tuned,13,30,7,23,6,0.23333333333333334,0.5384615384615384,0.32558139534883723
test,3d,36,Logistic original,13,26,11,15,2,0.4230769230769231,0.8461538461538461,0.5641025641025641
test,3d,36,QPP QNN2 original,13,24,9,15,4,0.375,0.6923076923076923,0.48648648648648646
test,3d,36,Logistic motion-tuned,13,11,2,9,11,0.18181818181818182,0.15384615384615385,0.16666666666666669
test,3d,36,QPP QNN2 fine-tuned,13,14,4,10,9,0.2857142857142857,0.3076923076923077,0.29629629629629634
test,3d,37,Harris tuned,13,25,7,18,6,0.28,0.5384615384615384,0.3684210526315789
test,3d,37,FAST tuned,13,43,13,30,0,0.3023255813953488,1.0,0.46428571428571425
test,3d,37,ORB tuned,13,33,6,27,7,0.18181818181818182,0.46153846153846156,0.26086956521739135
test,3d,37,Logistic original,13,25,6,19,7,0.24,0.46153846153846156,0.3157894736842105
test,3d,37,QPP QNN2 original,13,24,7,17,6,0.2916666666666667,0.5384615384615384,0.3783783783783784
test,3d,37,Logistic motion-tuned,13,13,7,6,6,0.5384615384615384,0.5384615384615384,0.5384615384615384
test,3d,37,QPP QNN2 fine-tuned,13,14,9,5,4,0.6428571428571429,0.6923076923076923,0.6666666666666666
test,3d,38,Harris tuned,13,25,9,16,4,0.36,0.6923076923076923,0.47368421052631576
test,3d,38,FAST tuned,13,34,12,22,1,0.35294117647058826,0.9230769230769231,0.5106382978723405
test,3d,38,ORB tuned,13,37,8,29,5,0.21621621621621623,0.6153846153846154,0.32
test,3d,38,Logistic original,13,27,9,18,4,0.3333333333333333,0.6923076923076923,0.45
test,3d,38,QPP QNN2 original,13,24,6,18,7,0.25,0.46153846153846156,0.32432432432432434
test,3d,38,Logistic motion-tuned,13,13,3,10,10,0.23076923076923078,0.23076923076923078,0.23076923076923078
test,3d,38,QPP QNN2 fine-tuned,13,14,6,8,7,0.42857142857142855,0.46153846153846156,0.4444444444444445
test,3d,39,Harris tuned,13,20,7,13,6,0.35,0.5384615384615384,0.4242424242424242
test,3d,39,FAST tuned,13,34,13,21,0,0.38235294117647056,1.0,0.5531914893617021
test,3d,39,ORB tuned,13,36,6,30,7,0.16666666666666666,0.46153846153846156,0.2448979591836735
test,3d,39,Logistic original,13,25,8,17,5,0.32,0.6153846153846154,0.4210526315789474
test,3d,39,QPP QNN2 original,13,24,7,17,6,0.2916666666666667,0.5384615384615384,0.3783783783783784
test,3d,39,Logistic motion-tuned,13,11,4,7,9,0.36363636363636365,0.3076923076923077,0.33333333333333337
test,3d,39,QPP QNN2 fine-tuned,13,14,7,7,6,0.5,0.5384615384615384,0.5185185185185186
