sequence,method,frames,gt_points,mean_detected_points,tp,fp,fn,precision,recall,f1,tolerance_px
2d,FAST,40,360,28.2,339,789,21,0.300531914893617,0.9416666666666667,0.4556451612903226,5.0
2d,Harris,40,360,26.3,352,700,8,0.33460076045627374,0.9777777777777777,0.4985835694050992,5.0
2d,Logistic,40,360,60.0,354,2046,6,0.1475,0.9833333333333333,0.25652173913043474,5.0
2d,ORB,40,360,25.975,300,739,60,0.28873917228103946,0.8333333333333334,0.4288777698355969,5.0
2d,QPP QNN2,40,360,60.0,352,2048,8,0.14666666666666667,0.9777777777777777,0.25507246376811593,5.0
3d,FAST,40,517,46.25,476,1374,41,0.2572972972972973,0.9206963249516441,0.40219687367976337,5.0
3d,Harris,40,517,38.0,375,1145,142,0.24671052631578946,0.7253384912959381,0.36818851251840945,5.0
3d,Logistic,40,517,60.0,437,1963,80,0.18208333333333335,0.8452611218568665,0.2996229002399726,5.0
3d,ORB,40,517,28.7,204,944,313,0.17770034843205576,0.3945841392649903,0.24504504504504504,5.0
3d,QPP QNN2,40,517,60.0,420,1980,97,0.175,0.8123791102514507,0.28796708947548855,5.0
